"X","years","sport","sex","ss01","ss02","ss03","ss04","ss05","ss06","ss07","ss08","ss09","ss10","ss11","ss12","ppfi_j00","ppfi_j01","ppfi_j02","ppfi_j03","ppfi_j04","ppfi_j05","ppfi_j06","ppfi_j07","ppfi_j08","ppfi_j09","ppfi_j10","ppfi_j11","ppfi_j12","ppfi_j13","ppfi_j14","ppfi_j15","panas01","panas02","panas03","panas04","panas05","panas06","panas07","panas08","panas09","panas10","panas11","panas12","panas13","panas14","panas15","panas16","panas17","panas18","panas19","panas20"
"1","10","ソフトテニス","女性",1,1,1,1,1,1,1,1,1,1,1,1,"クラブで頑張る
",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"2","13年","競泳","女性",1,0,1,1,1,1,1,1,0,0,0,1,"ベストタイムを出す。",2,0,0,0,2,1,4,1,1,4,0,5,5,5,6,4,4,4,4,0,3,1,3,5,5,5,5,3,4,3,4,5,0,0,5
"3","12","バスケットボール","女性",3,2,1,3,3,1,1,0,1,1,1,1,"人とのコネクションの場",1,1,2,2,1,4,2,4,5,1,2,4,1,1,5,5,3,4,1,4,2,1,2,3,2,3,3,2,2,2,2,3,2,2,4
"4","11年","ソフトテニス","男性",3,3,3,4,3,3,3,2,2,2,2,3,"団体メンバーに入る",2,3,1,1,1,4,4,5,3,4,5,4,2,3,3,3,3,2,3,2,2,3,2,2,3,2,3,2,3,2,2,3,2,2,3
"5","12","バレー","男性",2,1,1,1,2,3,3,2,3,3,1,2,"しあいにでる",2,1,1,1,0,1,1,1,1,2,6,4,4,6,4,4,4,2,2,2,1,4,3,4,3,2,4,2,3,1,2,5,1,5,5
"6","10年","陸上競技","男性",3,3,4,4,2,3,2,2,3,2,3,3,"全国大会入賞",0,0,0,0,1,3,5,2,4,5,6,5,5,5,5,3,4,2,4,1,2,3,4,3,4,3,4,4,3,1,2,4,0,1,4
"7","13","バレー","男性",1,1,1,1,1,1,1,1,1,1,1,1,"ミスを減らす",3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,2
"8","9年","バレーボール","男性",1,2,1,0,3,3,3,2,1,1,3,3,"チームのために貢献することが目標",4,3,4,2,4,3,5,3,4,2,2,3,4,5,3,2,2,3,1,4,3,3,4,2,2,3,4,3,4,3,4,1,2,5,3
"9","2","ソフトテニス","男性",1,0,2,0,3,3,3,4,3,0,0,0,"サーブの精度を上げる",0,0,6,1,0,5,5,5,6,5,5,6,4,1,5,5,5,5,3,3,2,0,3,1,1,5,5,3,0,2,4,4,0,0,1
"10","3","ソフトテニス","女性",2,1,3,3,3,2,1,1,1,0,1,1,"毎練習で目標を決めて練習に臨む。",5,6,4,5,5,4,3,5,5,1,0,4,1,1,4,3,4,2,4,1,0,3,3,3,4,2,3,4,0,3,2,2,3,2,3
"11","2ヶ月","ソフトテニス","女性",2,0,3,0,2,4,2,0,0,0,0,1,"そのスポーツを好きになり、仲間と共に楽しみながら日々の練習に励むこと。",2,2,1,1,3,2,4,3,4,3,4,4,2,2,3,3,3,2,1,1,2,1,3,1,3,3,4,2,3,2,2,3,3,2,2
"12","10","ソフトテニス","女性",1,1,2,2,3,2,1,1,1,2,1,2,"自分のやるべきことをどんな時もやれるようになる",5,2,2,2,2,4,4,4,2,2,2,4,1,1,4,4,4,4,4,3,3,3,3,2,2,2,4,2,4,3,2,1,1,2,2
"13","12","ソフトテニス","女性",1,2,1,2,1,1,1,1,1,1,2,2,"年に2回ある団体戦で活躍する。",2,1,1,4,4,4,4,2,2,2,1,1,1,1,4,3,4,3,1,3,3,3,3,3,2,1,3,2,3,3,1,1,2,3,2
"14","2年半","軟式テニス","男性",3,2,3,3,2,3,4,3,2,2,2,1,"個人戦で関東ベスト4",1,1,0,1,2,5,3,2,2,4,6,6,4,5,5,4,3,2,1,1,0,3,3,2,4,2,4,4,3,1,1,3,0,2,4
"15","13年","ソフトテニス","男性",2,2,1,3,3,3,3,4,1,2,3,3,"インカレ優勝",2,3,1,3,4,2,4,1,4,2,2,4,2,2,2,1,3,1,2,1,3,3,4,1,2,2,3,3,4,0,2,3,0,2,1
"16","11年","ソフトテニス","女性",0,1,2,2,3,3,1,0,0,0,4,3,"インカレのシングルスで優勝すること",1,1,1,1,1,5,1,5,1,3,6,5,3,4,6,4,4,4,3,3,2,4,3,2,4,5,5,3,5,1,3,5,0,2,3
"17","9","ソフトテニス","男性",2,2,3,2,3,1,1,3,3,2,1,3,"楽しくやる",4,1,0,2,1,1,3,3,4,4,4,4,4,4,4,4,3,2,3,2,3,3,2,3,3,2,3,2,3,3,2,3,2,3,2
"18","6","ソフトテニス","男性",1,1,1,1,3,3,2,2,0,0,3,2,"インカレ優勝",0,0,6,0,3,5,1,0,4,0,6,6,1,4,6,3,2,2,2,2,2,3,3,5,3,5,4,3,5,0,5,5,0,5,0
"19","4","スタンドアップパドルボード","男性",3,4,3,3,4,4,4,3,3,3,3,4,"【目標】いくつになってもsupを続けていたい。
・勝ち負けではなくて、supを続けること。
これを我々の世界ではkeep paddling. と呼んでいます。
私はこの言葉を大切にしてこのスポーツに取り組んでいます。
スポーツを続けるために身体作りをすることはもちろん。
ホームコートである千葉の海でこれからも漕ぐため、
ビーチクリーンや次世代への体験イベントといった活動を行っています。",1,2,3,3,3,6,6,5,5,5,6,6,0,0,2,1,4,1,3,2,2,3,3,2,3,3,3,3,3,0,0,3,0,0,3
"20","8","ソフトテニス","男性",2,2,3,3,3,4,4,3,3,3,2,4,"インカレ優勝",1,1,0,0,0,0,4,5,4,4,5,6,6,5,5,3,4,1,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4
"21","7","ソフトテニス","女性",0,0,0,1,0,0,2,1,0,0,0,0,"結果を出す",5,6,5,6,4,4,4,4,4,0,2,1,0,0,0,1,4,5,1,5,5,1,4,0,2,5,2,3,4,0,3,5,0,0,4
"22","3.5","山登り","男性",4,4,0,0,4,0,4,0,4,0,4,0,"みんなで楽しく登り全員で下山する",0,0,0,0,0,6,6,0,6,6,6,0,0,0,0,0,5,0,4,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5
"23","13年","ソフトテニス","女性",0,2,2,4,3,4,0,0,0,0,4,4,"関東学生リーグ一部昇格",1,3,0,0,0,0,0,0,4,0,5,6,0,0,0,5,5,5,0,5,5,4,0,5,5,5,3,0,5,5,5,5,3,3,0
"24","8","ソフトテニス","女性",0,0,0,0,1,1,1,0,0,0,0,0,"ミスをしない",2,1,2,4,4,4,4,2,4,2,4,2,4,4,4,1,4,4,1,4,4,1,4,1,5,5,3,3,3,1,0,3,3,1,3
"25","10","卓球","男性",4,0,2,4,4,4,2,0,2,2,2,2,"相手と自分の最大限のパフォーマンスを引き出すのは目標です",3,0,0,0,0,6,0,0,6,6,6,6,6,6,6,5,2,2,0,0,3,2,2,3,3,3,2,2,2,5,5,4,3,3,3
"26","12","ソフトテニス","女性",3,3,3,3,3,4,2,4,3,1,3,4,"継続すること",4,4,1,5,1,6,6,6,1,5,5,6,4,6,6,3,4,3,1,1,3,1,4,0,4,5,4,4,4,0,1,3,1,0,3
"27","6","ソフトテニス","女性",1,0,0,1,2,1,4,3,0,1,1,1,"技術の向上",5,3,0,5,1,4,6,1,1,1,3,5,5,6,6,3,5,0,4,2,1,4,1,5,4,3,3,4,2,0,2,5,0,5,2
"28","55","テニス","男性",4,4,3,4,4,4,3,3,3,3,3,4,"選手の育成",2,2,5,2,1,4,5,1,4,5,5,4,4,2,1,1,4,1,4,1,1,4,3,2,4,1,3,4,1,1,1,4,1,1,4
"29","２５　","テニス","男性",1,1,1,2,3,3,2,1,1,2,1,1,"スポーツから離脱しないこと",4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"30","11年","野球","男性",3,3,3,3,4,3,4,4,3,3,2,3,"高校野球で言うと甲子園。各都道府県の代表として戦う、特別なものがある。",1,4,0,2,2,4,5,5,3,6,4,5,1,3,1,3,5,0,2,0,0,4,5,1,3,0,2,4,3,0,0,4,0,4,5
"31","16","サッカー","男性",3,3,3,3,3,3,1,1,3,3,1,1,"怪我せずに楽しむ
",1,6,6,1,1,5,5,3,1,4,4,4,4,3,4,2,3,2,3,2,2,3,3,2,2,2,3,3,3,2,2,3,2,2,2
"32","10","野球","男性",3,4,4,4,3,4,3,3,3,3,4,4,"全国大会優勝",3,2,1,1,1,3,3,3,2,3,5,5,4,3,3,3,4,0,4,0,0,4,5,2,4,1,5,4,4,0,0,3,0,4,4
"33","８","野球","男性",2,2,3,3,3,2,4,4,2,3,4,3,"スポーツを通した人間形成",3,2,2,1,2,2,4,5,4,3,5,3,2,2,5,4,3,4,2,3,2,2,2,1,3,4,3,2,3,2,1,3,3,1,4
"34","13","バスケットボール","女性",2,2,2,3,3,3,2,1,1,1,1,2,"インカレ出場",2,3,2,2,4,3,4,4,4,2,4,5,3,4,4,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,3
"35","11","野球","男性",2,2,2,2,3,2,3,2,2,3,2,2,"チームで一つの目標に向かうこと",3,4,2,3,2,4,4,3,4,4,4,4,4,4,4,3,4,1,3,1,1,4,4,4,4,2,4,1,4,1,4,4,1,4,4
"36","10","野球","男性",2,3,2,2,3,4,3,3,3,3,4,2,"勝つこと",4,3,2,2,1,4,5,4,4,4,5,4,3,4,4,4,4,2,4,1,2,4,3,1,3,4,4,3,3,2,0,3,1,3,4
"37","14","硬式野球","男性",1,1,1,2,2,3,1,3,1,1,2,1,"応援される人間になる",1,3,4,5,2,4,2,4,3,2,4,4,4,4,4,4,4,1,2,2,2,4,4,4,3,4,4,2,4,2,3,3,2,3,2
"38","10","バレーボール","女性",3,1,1,1,3,4,3,4,3,3,1,3,"自分らしく堂々と安定したプレーをできるようにする。",1,0,0,1,1,0,4,2,4,4,5,5,1,5,4,3,3,2,2,1,0,3,3,1,4,3,4,3,3,0,1,3,1,3,4
"39","17","サッカー","男性",2,2,2,2,2,2,2,2,2,2,2,2,"ベンチプレス100㎏",1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,1,2,1,1,3,3,1,2,1,4,2,4,2,2,4,2,1,1
"40","12年","バスケットボール","男性",3,2,3,4,4,4,3,4,3,3,3,4,"チームスポーツなのでチームの勝利を目標にしている。",0,0,0,0,0,4,5,4,5,5,4,4,4,5,4,5,5,1,4,1,2,4,5,4,4,4,5,5,5,1,2,5,0,3,4
"41","14","バスケットボール","女性",1,1,1,1,3,3,1,1,1,1,1,3,"仲間とコミュニケーションをとってお互いを高め合うこと",1,2,4,2,2,4,4,4,4,4,4,4,4,2,4,2,4,2,2,2,2,4,4,4,4,2,4,2,3,2,3,4,1,3,3
"42","8","バスケットボール","男性",2,2,3,3,3,3,2,2,1,1,0,3,"インカレベスト８",2,2,2,2,2,4,2,3,4,3,4,2,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,3,4,2,4,2,2,4,3
"43","13","バスケットボール","男性",2,1,2,2,3,1,2,3,2,1,3,2,"東北で圧倒的な力で勝ちインカレでチームとしてベスト8を目標にしている",3,4,5,3,4,3,4,3,3,4,4,5,4,1,0,1,3,2,3,2,2,4,3,1,3,4,2,3,3,4,5,3,1,3,2
"44","10年","野球","男性",3,3,2,3,3,3,3,3,3,3,2,4,"一つの競技に対して一生懸命取り組むこと。",1,2,2,3,1,4,4,3,3,4,5,4,5,5,4,2,4,2,4,2,2,4,3,3,4,1,4,4,4,1,2,4,2,3,4
"45","13","バスケットボール","男性",3,2,2,1,3,3,1,2,3,3,3,3,"フェアプレー",1,1,0,1,3,3,3,3,3,3,3,3,2,3,2,5,4,1,3,1,2,4,4,4,4,4,4,4,4,1,3,3,4,4,4
"46","7","バレーボール","男性",1,1,2,3,3,4,3,2,1,1,3,3,"全勝優勝",2,0,1,1,1,1,3,3,2,3,2,2,3,3,2,3,4,2,3,2,2,3,1,3,4,5,4,2,3,2,0,4,2,2,5
"48","8年","サッカー","男性",2,2,2,3,3,3,3,2,2,2,2,2,"理想とする選手のようなプレーをする",2,3,2,2,2,3,4,3,3,3,2,4,2,2,3,2,3,2,3,2,2,2,3,2,3,3,3,2,3,1,2,3,1,2,3
"49","１０","硬式野球","男性",1,0,0,1,3,3,1,0,0,0,3,0,"ホームランを打つ",0,6,1,0,1,1,0,4,0,5,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1
"50","12年","バスケットボール","女性",3,3,3,3,3,3,3,3,3,3,3,3,"集中する",4,6,2,1,2,3,4,4,4,4,4,4,2,2,3,4,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3
"51","7年","陸上競技（短距離）","男性",3,2,2,2,3,3,4,3,2,2,3,2,"競技力、人間力の向上",1,3,1,1,2,3,4,3,2,4,4,4,3,3,4,3,3,2,2,2,1,3,3,2,3,2,3,3,3,2,1,3,2,2,2
"52","１０","ソフトテニス","その他",2,2,2,2,2,2,2,2,2,2,2,2,"仲間と仲良く、楽しく。",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,4,0,3,2,2,3,3,2,3,2,2,3,3,1,1,1,1,1,1
"53","18","女子硬式野球部","女性",3,2,3,3,2,3,2,3,1,3,2,2,"選手権大会優勝",2,2,6,3,6,3,4,4,3,4,2,3,2,3,3,3,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,2,2,2
"54","２","ソフトボール","男性",1,1,1,1,2,2,0,3,1,1,2,1,"インカレ出場",2,1,3,5,3,5,4,3,4,3,6,1,4,5,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3
"55","14","サッカー","男性",1,1,1,2,2,2,2,1,2,2,2,2,"怪我を減らすこと。",2,3,3,3,2,3,3,2,3,4,4,4,4,3,3,2,2,2,2,1,2,2,3,3,3,3,3,2,2,1,3,2,1,3,4
"56","4年","ボート","女性",1,1,1,1,2,3,3,2,2,1,3,1,"後悔の無いように終わる",0,0,0,1,1,3,0,1,4,5,6,6,5,6,4,4,2,5,1,3,4,0,1,2,5,5,5,5,3,1,2,4,3,2,4
"57","11","野球","男性",3,1,2,1,3,3,3,2,3,3,3,2,"楽しむこと",2,2,2,2,4,4,2,4,4,3,2,2,2,4,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,3,4
"58","14年","サッカー","男性",1,1,1,1,3,3,3,3,3,3,3,3,"健康増進",3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,2,2,2,2,2,4,4,4,5,5,4,5,2,2,2,2,4,4
"59","14年","硬式野球","女性",3,3,1,3,4,4,4,3,0,2,2,4,"日本を代表するような選手になる",1,0,1,1,2,1,5,1,1,4,1,3,5,1,1,3,5,1,4,0,1,4,3,4,4,4,5,5,4,1,3,5,0,0,5
"60","8年","バレーボール","男性",2,2,3,3,3,3,3,1,2,2,3,3,"選択肢の多いトスをする。チームを勝たせられるセッターになる。",3,4,1,4,4,4,3,3,4,5,5,5,5,3,3,3,4,3,4,1,2,4,2,2,4,4,5,3,4,1,1,4,1,1,4
"61","18","体操競技","男性",2,2,2,2,2,2,2,2,2,2,2,2,"全日本種目別吊り輪優勝",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"62","5","バドミントン","男性",1,1,1,1,2,3,4,3,0,1,2,2,"自分からより高くより前でタッチする",1,0,0,0,0,4,1,4,2,3,1,4,2,1,4,2,3,3,1,1,3,3,4,3,3,3,4,3,3,0,3,3,0,3,3
"63","4年","やり投げ","男性",3,3,2,2,3,3,3,3,2,2,3,2,"自分の納得のいく結果を出すこと",2,3,1,1,1,1,1,1,1,1,5,5,5,5,5,3,4,2,3,2,2,4,4,1,4,1,4,4,4,1,1,4,1,1,1
"64","11","陸上","男性",1,1,4,4,3,3,3,4,2,2,3,3,"国体出場のため",0,0,0,0,0,0,0,0,5,4,6,5,5,6,5,1,4,1,4,1,1,5,5,5,5,5,5,3,5,1,1,3,1,4,3
"65","8","バレーボール","男性",2,2,2,2,2,2,2,2,2,2,2,2,"全国制覇",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"67","3","トライアスロン","男性",3,3,1,3,4,0,1,3,2,3,1,3,"7.8割を完璧に",0,0,0,0,0,1,4,4,2,4,6,0,1,1,0,4,5,0,3,1,3,4,5,3,4,5,5,3,5,1,1,4,1,4,5
"68","４年","卓球","男性",3,0,0,3,3,4,4,3,2,3,3,3,"卓球の楽しさを追求すること",1,2,2,2,5,6,6,3,5,4,6,6,6,6,6,3,5,2,4,2,1,4,4,4,4,4,5,4,3,0,2,4,1,3,3
"69","15","サッカー","男性",1,1,1,3,2,3,3,1,1,2,2,1,"個の力",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,2,3,2,3,3
"70","13年","野球","男性",2,2,2,2,2,2,2,2,2,2,2,2,"一生懸命すること",2,4,1,2,1,3,4,4,2,4,4,4,4,2,4,3,2,2,3,2,1,3,3,2,3,3,4,3,3,2,1,3,2,2,3
